run_id,model,domain,task_type,difficulty,n,n_samples,n_needs_review,n_excluded_from_main,n_samples_unscored,n_items_unscored,mean_score,mean_score_incl_review,small_cell,ci_method,ci_low,ci_high,t2_judgment_accuracy,t2_verdict_ci_low,t2_verdict_ci_high,t4_pass_at_1,diagnostic_functional_threshold_rate,t4_performance_pass_rate,judge_mean_score_range,paper_eligible
midtier-20260828-v1,DeepSeek-V3,D1,T1,Basic,15,15,0,0,0,0,0.9333333333333333,0.9333333333333333,False,wilson,0.7018347012622079,0.988133104506731,,,,,,,,True
midtier-20260828-v1,DeepSeek-V3,D1,T1,Expert,7,7,0,0,0,0,0.8571428571428571,0.8571428571428571,False,wilson,0.486872170725691,0.9743203756552553,,,,,,,,True
midtier-20260828-v1,DeepSeek-V3,D1,T1,Intermediate,20,20,0,0,0,0,0.95,0.95,False,wilson,0.7638688065532648,0.9911185511992042,,,,,,,,True
midtier-20260828-v1,DeepSeek-V3,D1,T2,Basic,5,5,0,0,0,0,0.575,0.575,False,item-cluster bootstrap B=20000 seed=20260805,0.4,0.75,1.0,0.5655175352168389,1.0,,,,0.0,True
midtier-20260828-v1,DeepSeek-V3,D1,T2,Expert,3,3,0,0,0,0,0.3333333333333333,0.3333333333333333,True,"none (descriptive, n<5)",,,0.6666666666666666,0.2076596008020547,0.9385080552796013,,,,0.0,True
midtier-20260828-v1,DeepSeek-V3,D1,T2,Intermediate,9,9,0,0,0,0,0.4583333333333333,0.4583333333333333,False,item-cluster bootstrap B=20000 seed=20260805,0.3333333333333333,0.5972222222222222,1.0,0.7008549515804674,1.0,,,,0.0,True
midtier-20260828-v1,DeepSeek-V3,D1,T3,Basic,1,1,0,0,0,0,0.5,0.5,True,none (n<2),,,,,,,,,0.0,True
midtier-20260828-v1,DeepSeek-V3,D1,T3,Expert,8,8,0,0,0,0,0.5458333333333333,0.5458333333333333,False,item-cluster bootstrap B=20000 seed=20260805,0.425,0.6458333333333334,,,,,,,0.0,True
midtier-20260828-v1,DeepSeek-V3,D1,T3,Intermediate,6,6,0,0,0,0,0.7777777777777778,0.7777777777777778,False,item-cluster bootstrap B=20000 seed=20260805,0.6,0.9444444444444445,,,,,,,0.0,True
midtier-20260828-v1,DeepSeek-V3,D1,T4,Basic,2,2,0,0,0,0,0.0,0.0,True,wilson,0.0,0.6576197724933345,,,,0.0,0.0,1.0,,True
midtier-20260828-v1,DeepSeek-V3,D1,T4,Expert,3,3,0,0,0,0,0.6666666666666666,0.6666666666666666,True,wilson,0.2076596008020547,0.9385080552796013,,,,0.6666666666666666,1.0,1.0,,True
midtier-20260828-v1,DeepSeek-V3,D1,T4,Intermediate,1,1,0,0,0,0,1.0,1.0,True,none (n<2),,,,,,1.0,1.0,1.0,,True
midtier-20260828-v1,DeepSeek-V3,D2,T1,Basic,13,13,0,0,0,0,0.6923076923076923,0.6923076923076923,False,wilson,0.4236934318054971,0.8731929634428918,,,,,,,,True
midtier-20260828-v1,DeepSeek-V3,D2,T1,Expert,6,6,0,0,0,0,0.8333333333333334,0.8333333333333334,False,wilson,0.43649717781353975,0.9699466302516921,,,,,,,,True
midtier-20260828-v1,DeepSeek-V3,D2,T1,Intermediate,11,11,0,0,0,0,0.7272727272727273,0.7272727272727273,False,wilson,0.43435469882387834,0.9025394070997484,,,,,,,,True
